d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result;clusterIndex
Ignite;Flash;Leona;Blue;Support;0.3214285714285714;0.0;0.0009454774661203909;0.0;0.47368421052631576;0.10503856884949941;0.043478260869565216;0.393939393939394;0.017005315552748666;0.21269306617149605;0.07098765432098765;0.0;0.41481481481481486;0;0
Cleanse;Flash;Ashe;Red;Adc;0.25;0.24841088227815916;0.1379196494229586;0.24841088227815916;0.2631578947368421;0.33672520378576515;0.13043478260869565;0.26262626262626265;0.1596710267963775;0.20221387341480618;0.5061728395061728;0.5;0.15555555555555556;1;1
Flash;Teleport;Galio;Blue;Mid;0.46428571428571425;0.09514365624205441;0.048339411402758395;0.09514365624205441;0.3684210526315789;0.4390283932381422;0.5217391304347826;0.3434343434343435;0.21052503734651495;0.33267118653826777;0.44753086419753085;0.16666666666666666;0.1925925925925926;0;1
Flash;Smite;Nunu;Red;Jungle;0.21428571428571427;0.0;0.07383728783035433;0.0;0.3157894736842105;0.19459489031128618;0.13043478260869565;0.21212121212121213;0.2115492832303015;0.27401361719278544;0.07098765432098765;0.0;0.1925925925925926;0;0
Flash;Ignite;Nautilus;Blue;Support;0.07142857142857142;0.0;0.0;0.0;0.15789473684210525;0.019913562011050934;0.043478260869565216;0.14141414141414144;0.02520535522709515;0.051532294050755;0.10802469135802469;0.0;0.1259259259259259;0;0
Flash;Teleport;Graves;Blue;Mid;0.3214285714285714;0.29234680905161453;0.22533879609202648;0.29234680905161453;0.47368421052631576;0.5037474697740576;0.21739130434782608;0.20202020202020204;0.3546137621401476;0.32859754429906;0.6790123456790123;0.3333333333333333;0.11851851851851852;1;2
Flash;Ignite;Lulu;Red;Support;0.6785714285714285;0.036613272311212815;0.05071060885747303;0.036613272311212815;0.47368421052631576;0.2257782154384813;0.043478260869565216;0.33333333333333337;0.026399634024395675;0.18152898331677966;0.06172839506172839;0.0;0.41481481481481486;1;0
Ignite;Teleport;Akali;Blue;Mid;0.21428571428571427;0.0;0.0;0.0;0.2631578947368421;0.2466765140324963;0.34782608695652173;0.020202020202020204;0.11288768516381863;0.17034446027838956;0.32407407407407407;0.0;0.08148148148148149;1;1
Ghost;Smite;Hecarim;Blue;Jungle;0.07142857142857142;0.0;0.044587516695931445;0.0;0.21052631578947367;0.04721264839433231;0.0;0.07070707070707072;0.13592107234090792;0.16408285471635647;0.037037037037037035;0.0;0.06666666666666667;0;0
Flash;Smite;Kindred;Red;Jungle;0.21428571428571427;0.022934146961606915;0.3099815406780424;0.022934146961606915;0.2631578947368421;0.24459762569068333;0.08695652173913043;0.020202020202020204;0.22456287371817452;0.2347166443551986;0.07716049382716049;0.16666666666666666;0.15555555555555556;0;0
