id;d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result
0;Ignite;Flash;Leona;Blue;Support;9;0;63;0;9;5933;1;39;13802;17876;25;0;59;0
1;Cleanse;Flash;Ashe;Red;Adc;7;4885;9190;4885;5;10168;3;26;84282;17148;166;3;24;1
2;Flash;Teleport;Galio;Blue;Mid;13;1871;3221;1871;7;12038;12;34;109405;26211;147;1;29;0
3;Flash;Smite;Nunu;Red;Jungle;6;0;4920;0;6;7570;3;21;109911;22136;25;0;29;0
4;Flash;Ignite;Nautilus;Blue;Support;2;0;0;0;3;4377;1;14;17853;6680;37;0;20;0
5;Flash;Teleport;Graves;Blue;Mid;9;5749;15015;5749;9;13221;5;20;180588;25928;222;2;19;1
6;Flash;Ignite;Lulu;Red;Support;19;720;3379;720;9;8140;1;33;18443;15711;22;0;59;1
7;Ignite;Teleport;Akali;Blue;Mid;6;0;0;0;5;8522;8;2;61170;14934;107;0;14;1
8;Ghost;Smite;Hecarim;Blue;Jungle;2;0;2971;0;4;4876;0;7;72549;14499;14;0;12;0
9;Flash;Smite;Kindred;Red;Jungle;6;451;20655;451;5;8484;2;2;116340;19406;27;1;24;0
10;Teleport;Flash;Poppy;Red;Top;8;4944;7334;4944;6;9861;4;35;96700;21993;163;1;22;1
11;Ignite;Flash;Karma;Red;Support;12;802;2338;802;3;6639;1;21;17182;6837;11;0;47;1
12;Ignite;Teleport;Gwen;Blue;Top;6;6202;15216;6202;7;18542;15;12;261314;51957;296;2;45;1
13;Exhaust;Flash;Senna;Blue;Support;16;1826;14087;1826;10;13272;7;26;89787;27102;61;1;79;1
14;Ignite;Flash;Nami;Red;Support;14;176;506;176;8;7744;1;27;11210;16891;7;1;48;0
15;Ghost;Teleport;TahmKench;Blue;Top;12;5225;9160;5225;4;9933;2;27;83365;29067;119;2;15;1
16;Heal;Flash;Seraphine;Red;Adc;11;2131;3229;2131;3;9867;4;19;81191;9448;146;1;14;1
17;Teleport;Flash;Malzahar;Blue;Mid;12;4221;19241;4221;5;11244;3;57;129984;14700;150;2;28;0
